id_str,created_at,user_id_str,conversation_id_str,TEXT,LABEL
1782593566495420498,Tue Apr 23 02:13:19 +0000 2024,1251759675583815686,1782273668242120938,karena keadaan beberapa tahun terakhir jadi menggunakan jasa ka pas mudik balik soal ketepatan waktu saat high season kayaknya ga bagus2 amat aplikasi kaiaccess juga bapuk baik saat pemesanan yg lemot maupun saat akan boarding yg suka force close maniaknya galak,
1780295267243393245,Tue Apr 16 18:00:42 +0000 2024,1177227083749052417,1780295267243393245,kamu hebat tidak hanya karena pencapaian mu tetapi karena sampai hari ini kamu bersedia menerima apa yang telah tuhan pilihkan dengan doa yang selalu menguatkan ada harap yang ingin diwujudkan berkembang menjadi indah dan nyata kai selamat malam kaiaccess sahabat rf,
1778998200449507458,Sat Apr 13 04:06:37 +0000 2024,1676567940261629953,1778998200449507458,min aku lihat lewat kaiaccess jadwal kereta dari purwokerto jakarta semua stasiun dah pada habis misal aku ke loket stasiun buat beli tiket jurusan itu ada kemungkinan masih ada ga ya tiket nya,
1777555713457627292,Tue Apr 09 04:34:42 +0000 2024,1729388435012751360,1777555713457627292,wtb kereta blitar malang dong masa gw check kai jam 1 59 yg buat tgl 16 uda abissssss gileee yaaa knp dah zonauang kaiaccess tiketkeretaapi kai kereta,
1777552136777425008,Tue Apr 09 04:20:29 +0000 2024,1134851335054958592,1777552136777425008,halo kak mau tanya misal kita sudah pengajuan pembatalan tiket lewat aplikasi kaiaccess jd nggak perlu ke stasiun lagi kan ya terimakasih,
1777485159362969976,Mon Apr 08 23:54:20 +0000 2024,781692220403351552,1777485159362969976,padahal tiket masih available tp pas checkout no seat mulu jink kesel bnr,
1776867891670921560,Sun Apr 07 07:01:32 +0000 2024,1334467701725491201,1776867891670921560,kaiaccess knp dikit error deh,
1776735367674437685,Sat Apr 06 22:14:56 +0000 2024,108931980,1776735367674437685,sebulan ini tidak merasakan warisan staatspoorwegen en tramwegen kaiaccess keburu uninstal,
1776150379975299438,Fri Apr 05 07:30:24 +0000 2024,1056993066,1776148610503283152,sultaaaan tinggal kereta ini yg blm sold emang sih dr kemaren ngecekin kaiaccess,
1776130641148707067,Fri Apr 05 06:11:58 +0000 2024,1295309363792363523,1776130641148707067,kaiaccess sring lemot skrng bikin ketar ketir cari goshow,
1775289638527422830,Tue Apr 02 22:30:07 +0000 2024,1504123856994574337,1775289638527422830,ada selimut engga si di kereta ekonomi premium nyari di kaiaccess gaada,
1774864039493165472,Mon Apr 01 18:18:57 +0000 2024,192231157,1774864039493165472,min klo mau pesen tiket infant di stasiun harus bawa ktp atau cukup dengan menunjukan bukti pemesanan tiket dewasa yg sudah dipesan lewat aplikasi kaiaccess aja,
1774425978946937330,Sun Mar 31 13:18:15 +0000 2024,1150248366095233024,1774392817357570137,maksud transfer tiket misal kamu beli 2 tiket atas nama km dan mamamu lewat aplikasi punyamu otomatis kalian punya kode booking yg sama nah tiket td bisa ditransfer ke akun kaiaccess punya mamamu udah gitu tok ga bisa ditransfer ke orang random yg beli tiketmu,
1773687085557334113,Fri Mar 29 12:22:09 +0000 2024,940724766,1773687085557334113,untuk pembatalan tiket yang pemesannya tidak termasuk dalam 1 kode booking itu prosedurnya gimana ya soalnya tidak bisa dibatalkan lewat aplikasi kaiaccess dan berkas apa saja yg dibutuhkan untuk pembatalan di loket terima kasih,
1772213341483937799,Mon Mar 25 10:46:01 +0000 2024,1746519225160941568,1772101016999367146,min kalau reschedule tiket di kaiaccess bukan atas nama sendiri bisa ngga ya min atau harus langsung ke stasiun,
1771927473598636387,Sun Mar 24 15:50:05 +0000 2024,178230025,1771927473598636387,keren juga kaiaccess ada live tracking nya jadi gak perlu cek gmaps,
1770811122620281180,Thu Mar 21 13:54:06 +0000 2024,1482491322808541188,1770774697585553689,tetep ga bisa sayank tiket yg ditransfer ini data dirinya ttp si pembeli tikett gbs diganti jadi org lain aku pernah pake fitur ini buat pindahin tiketnya aja dr pas beli di klikidm trs dipindah ke kaiaccess biar enak pas mau boarding,
1770792477944864992,Thu Mar 21 12:40:01 +0000 2024,2492800602,1770791928419746076,tapi ga berhasil melawan kaiaccess berarti emang najisin war tiket kereta ini,
1770722123167809706,Thu Mar 21 08:00:27 +0000 2024,192787849,1770719693428404510,euweuh argo parahyangan di flashsalena ge urg geus ngecek 2 platform kaiaccess jeung tiketcom jkt bdg tgl 6 8 udah soldout semua sisa yg panoramic,
1770664285548789922,Thu Mar 21 04:10:37 +0000 2024,1023946545777934336,1770631545730240864,aku sih pake 2 platform 1 kai access 1 tiketcom soalnya kaiaccess lemot bangettt refreshnya di tiketcom pas ada yg avail lgsg keep dulu smp data diri abis tuh lgsg switch ke apps kai trs klik deh cuma klo yg flash sale ini kan cuma di kak access doaangg,
1770547879054286898,Wed Mar 20 20:28:04 +0000 2024,1028135492,1770547879054286898,akun kaspro saya malah kekunci knp ya kaiaccess gabisa tarik tunai ya,
1770502469128437972,Wed Mar 20 17:27:37 +0000 2024,1536403244,1770502469128437972,war tiket di kaiaccess butuh sabar banyak2,
1770327532925223119,Wed Mar 20 05:52:29 +0000 2024,1400639132733304834,1770327532925223119,jelek bgt anjir udh jelas scam orang kaiaccess bagus bgt,
